Protein_A	Protein_B	Score
NSD1	SMG7	0.169
NOSIP	EIF2B4	0.169
KIF15	SPTY2D1	0.169
RB1	RACGAP1	0.169
SPTY2D1	UBAP2L	0.169
SEC23IP	HAUS6	0.169
VAC14	POM121	0.169
RPA1	RACGAP1	0.169
NCL	VIM	0.169
SF3B1	NES	0.169
PPFIBP1	ZC3H11A	0.169
BCLAF1	PIAS1	0.168
EXOSC10	RBM17	0.168
PNN	SKA3	0.168
GEMIN5	ADAR	0.168
CTNND1	SIPA1L1	0.168
CENPF	SUN1	0.168
DNMT1	PIAS1	0.168
CUX1	BCLAF1	0.168
ZNF318	AHNAK	0.168
ABL2	MYO9B	0.168
SF3B1	BCAR1	0.168
SPTY2D1	INCENP	0.168
POLD3	ZNF318	0.168
PPP1R13B	DNMT1	0.168
SSRP1	NUSAP1	0.168
CDC25A	NOLC1	0.168
FEN1	RTF1	0.168
SEC23IP	GATAD2A	0.168
SURF6	STAU2	0.168
TEX10	NOLC1	0.168
VAC14	TP53BP1	0.168
RANBP2	PRRC2C	0.168
NCL	STAU2	0.168
PRRC2A	SEC24A	0.168
PRRC2C	ANKLE2	0.168
LIG1	HMMR	0.168
MICALL1	HNRNPA1	0.168
NASP	SMG1	0.168
TCOF1	ATXN2L	0.168
ZFAND3	RFX7	0.167
FEN1	SON	0.167
TSC2	DHX30	0.167
CREBBP	RASSF1	0.167
ZNF318	AMBRA1	0.167
MAP4	PPP1R14C	0.167
SEC24A	GTSE1	0.167
CTNND1	BRCA1	0.167
MSH6	BMS1	0.167
TMPO	ESYT2	0.167
MAP1B	NGDN	0.167
MGA	CASP8AP2	0.167
RTF1	SMG1	0.167
SSRP1	TACC3	0.167
RBM17	DEK	0.167
PROSER1	POM121	0.167
TACC3	HNRNPA1	0.167
CASC3	DDX50	0.167
HNRNPA1	MPHOSPH8	0.167
SMG9	ATXN2L	0.167
ARHGEF17	NOP2	0.167
TDRKH	SH3BP4	0.167
NCAPH	CTCF	0.167
LIG1	HCFC1	0.167
DDX5	SPAG9	0.167
LEMD3	SEC23IP	0.167
RANBP2	NOLC1	0.167
KDM5A	ATXN2	0.167
NASP	CHAMP1	0.167
KDM5A	ZC3H11A	0.167
NCL	UHRF1	0.167
SUN1	BCLAF1	0.167
VIM	UHRF1	0.167
DHX30	BCLAF1	0.167
UBASH3B	ABL2	0.167
STRN	CUX1	0.166
POLD3	GTSE1	0.166
UTP14A	UBAP2L	0.166
CASC3	ZNF318	0.166
ATXN2L	RBM17	0.166
PCYT1A	SPTY2D1	0.166
LIG1	CENPJ	0.166
PDLIM1	BCAR1	0.166
CDC5L	NGDN	0.166
DDX5	ZNF318	0.166
CCAR2	DEK	0.166
MAP4	NOLC1	0.166
TOB2	ATXN2	0.166
FEN1	HSPH1	0.166
CDC25B	VIM	0.166
SMG9	WIZ	0.166
TRIM28	RTF1	0.166
TPR	DDX50	0.166
RRP1B	ARHGAP11A	0.166
RIPK4	SLC26A6	0.166
NCAPH	FTSJ3	0.166
PPP1R13B	ESPL1	0.166
NCAPG	CTCF	0.166
DLGAP5	NOLC1	0.166
E2F8	ZNF318	0.166
SF3B1	TCOF1	0.166
TMEM131	MAP1B	0.166
MICALL1	SSRP1	0.166
THOC2	DNTTIP2	0.166
NCAPH	HAUS6	0.166
COIL	DDX3X	0.166
MSH6	KMT2B	0.166
SPAG9	CEP170	0.166
CEP170	SYNRG	0.166
TMPO	SON	0.166
MCMBP	AHCTF1	0.166
TUT1	NCL	0.166
LMO7	VIM	0.166
NASP	BMS1	0.166
SLAIN2	SPTY2D1	0.166
COIL	TTK	0.166
ADD3	TPD52	0.166
NCAPH	SYNRG	0.166
NCL	NES	0.166
PRRC2A	ZC3H11A	0.166
UBASH3B	STAU2	0.165
TPR	EXOSC10	0.165
PKN2	KDM5A	0.165
MICALL1	GATAD2A	0.165
MICALL1	LMO7	0.165
PPRC1	BRCA1	0.165
CASC3	UBAP2L	0.165
RIPK4	NEDD4L	0.165
DNMT1	ABL2	0.165
EPN1	GTSE1	0.165
DLGAP5	RAD18	0.165
PPRC1	BCAR1	0.165
TCOF1	STAU2	0.165
ORC1	TCOF1	0.165
OSBPL8	ADD3	0.165
LEMD3	DDX50	0.165
KIF23	MAP4	0.165
KIF23	TP53BP1	0.165
CRIPT	VIM	0.165
EXOSC10	CHAMP1	0.165
TRPS1	VIM	0.165
CCAR2	PBRM1	0.165
SUN1	VIM	0.165
PRRC2A	EPN1	0.165
NASP	CTNND1	0.165
DPF2	INCENP	0.165
TACC3	CCNL2	0.165
LASP1	MYO9B	0.165
SYDE1	NES	0.165
CDCA8	DNTTIP2	0.165
MAP4	HP1BP3	0.165
HNRNPA1	ADD3	0.165
GPSM1	CHAMP1	0.165
CREBBP	NCL	0.165
HAUS6	DEPDC1	0.165
AHNAK	HMMR	0.165
ZNF318	AHCTF1	0.165
LIG1	SMG1	0.165
SON	ZNF318	0.164
POLD3	TPR	0.164
MAP7D1	AHNAK	0.164
NCL	PIAS1	0.164
TPX2	PBRM1	0.164
SLC38A2	DDX3X	0.164
PTPN12	NUSAP1	0.164
MGA	ADAR	0.164
DPF2	TRIM28	0.164
SF3B1	KDM5A	0.164
MPHOSPH8	ZRANB2	0.164
TPD52	NR4A1	0.164
THOC2	RSL1D1	0.164
CDC25B	NASP	0.164
UBASH3B	SECISBP2L	0.164
NPM1	CKAP4	0.164
RPA1	TCOF1	0.164
RPA1	PSIP1	0.164
CDC25B	CEP170	0.164
CDC25B	FOSL1	0.164
MICALL1	FTSJ3	0.164
NPM1	HCFC1	0.164
SLAIN2	DDX50	0.164
GULP1	EPN1	0.164
DPF2	BAZ1A	0.164
RB1	INCENP	0.164
DLGAP5	FOSL1	0.164
CDC25A	HNRNPA1	0.164
TNRC6A	CLIP1	0.164
PYGB	HSPH1	0.164
DLGAP5	UBAP2L	0.164
MSH6	COIL	0.164
TCOF1	FTSJ3	0.164
SPAG9	CDC27	0.164
PTPN12	EPN1	0.164
DDX5	TRPS1	0.164
KDM5A	UHRF1	0.164
TPR	LIMCH1	0.164
MGA	AHCTF1	0.164
CRIPT	THOC2	0.164
PKN2	PBRM1	0.164
DDX5	TP53BP1	0.164
ANKLE2	LMO7	0.164
ANKLE2	DCP1A	0.164
PKN2	CKAP4	0.164
CASP8AP2	CTCF	0.164
KMT2B	SMG7	0.164
DLGAP5	AHCTF1	0.163
TFAP4	COIL	0.163
RBM17	UBAP2L	0.163
RB1	HMMR	0.163
TRIM28	SEC16A	0.163
BCLAF1	VIM	0.163
POLD3	RIPK4	0.163
EHD4	AHNAK	0.163
DDX5	POM121	0.163
LIMCH1	MYO9B	0.163
BRCA1	ZC3H11A	0.163
CDC27	SYNRG	0.163
GTSE1	SYNRG	0.163
MSH6	TEX10	0.163
PNN	TCOF1	0.163
TFAP4	GATAD2A	0.163
RB1	TPX2	0.163
RB1	DDX3X	0.163
MGA	CREBBP	0.163
PRRX1	ATXN2L	0.163
SORBS3	ATXN2L	0.163
PNN	TMPO	0.163
NASP	TCOF1	0.163
NASP	NUP214	0.163
NSD1	ABL2	0.163
ARID5B	RACGAP1	0.163
LMO7	NEDD4L	0.163
TPX2	CLIP1	0.163
USP1	ASXL2	0.163
KIF15	BCAR1	0.163
MED1	SYNRG	0.163
NUP214	KMT2B	0.163
MED1	NUP214	0.163
LASP1	TPD52	0.163
BAZ1B	RFX7	0.163
RRP1B	CHAMP1	0.163
CDC5L	DCP1A	0.163
SEC23IP	EIF2B4	0.163
ARHGAP11A	HP1BP3	0.163
TACC3	MAP7D1	0.163
MAP4	TPD52	0.163
ORC1	SYNRG	0.163
ORC1	CDC27	0.163
RIPK4	WIZ	0.163
TPR	UTP14A	0.163
TPR	DNTTIP2	0.163
SPTY2D1	EIF2B4	0.163
SCAF4	CD3EAP	0.163
RANBP2	FTSJ3	0.163
ANKLE2	BCLAF1	0.163
MYBBP1A	UBAP2L	0.163
CEP170	KIF20B	0.163
CCAR2	FTSJ3	0.163
AHCTF1	RACGAP1	0.163
MKI67	PDLIM1	0.163
MKI67	CENPJ	0.163
CCAR2	DCP1A	0.163
CCAR2	RTF1	0.163
FEN1	SYDE1	0.163
SAP130	SYNRG	0.163
C1orf131	SURF6	0.163
STK17A	CEP170	0.163
PKN2	BCLAF1	0.163
PRRC2A	NEDD4L	0.163
CCAR2	DDX3X	0.162
SLAIN2	DBNL	0.162
TSC2	ADAR	0.162
DDX50	TCOF1	0.162
DHX30	AMBRA1	0.162
SF3B1	RECQL	0.162
ASPM	NOLC1	0.162
C5orf30	ATXN2	0.162
DDX5	AHNAK	0.162
RECQL	NUSAP1	0.162
MED1	LEMD3	0.162
RPA1	HMMR	0.162
RPA1	RBM17	0.162
RPA1	ESPL1	0.162
PYGB	LASP1	0.162
TPR	MAP7D1	0.162
CREBBP	TRPS1	0.162
CENPF	CTCF	0.162
CDC25A	VIM	0.162
SEC16A	TPR	0.162
MPHOSPH8	EXOSC10	0.162
TMPO	SCAF4	0.162
TMPO	NUMA1	0.162
PRRX1	KDM5A	0.162
ANKLE2	CENPF	0.162
GEMIN5	SON	0.162
RRP1B	C1orf131	0.162
TFAP4	VIM	0.161
CDC5L	HAUS6	0.161
POM121	PBRM1	0.161
BAZ1B	KMT2B	0.161
RAP1GAP2	SH3BP4	0.161
NES	ORC1	0.161
NOSIP	ZC3H11A	0.161
ARHGAP11A	CASP8AP2	0.161
RANBP2	BCAR1	0.161
ASPM	TCOF1	0.161
C5orf30	SMG1	0.161
NCAPH	BMS1	0.161
SLC26A6	UBAP2L	0.161
SPTY2D1	PBK	0.161
NCAPH	CDC25B	0.161
NCAPH	CKAP4	0.161
HCFC1	KDM5A	0.161
SON	BCAR1	0.161
SSRP1	INCENP	0.161
AHCTF1	CASP8AP2	0.161
DNMBP	GTSE1	0.161
EHD4	KMT2B	0.161
TCOF1	HMGA1	0.161
SORBS3	LMO7	0.161
ADD3	BAZ1A	0.161
ANKLE2	DHX30	0.161
GATAD2A	KMT2B	0.161
MKI67	ABI1	0.161
NASP	SCAF4	0.161
CREBBP	PPRC1	0.161
CREBBP	VIM	0.161
TRPS1	DEK	0.161
GEMIN5	RSL1D1	0.161
SF3B1	CTCF	0.161
BCAR1	BRCA1	0.161
UBAP2L	CD3EAP	0.161
RIPK4	CTNND1	0.161
MCMBP	NSD1	0.161
RIPK4	DHX30	0.161
ANLN	RANBP2	0.161
SF3B1	UTP14A	0.161
CASC3	GATAD2A	0.161
TOB2	MYBBP1A	0.161
SPTY2D1	CDC27	0.161
MAP1B	ADD3	0.161
NSD1	ZC3H11A	0.161
TPR	RACGAP1	0.161
MCMBP	FTSJ3	0.161
MSH6	INCENP	0.161
LEMD3	TP53BP1	0.161
PSIP1	NOLC1	0.161
TPX2	CWC25	0.161
PPRC1	DCP1A	0.161
TMPO	SEC24A	0.161
GEMIN5	DHX30	0.16
RPA1	ASPM	0.16
MED1	PKN2	0.16
NCAPH	CDC27	0.16
FEN1	NSD1	0.16
TMEM131	KMT2B	0.16
TACC3	TCOF1	0.16
NCL	CDCA8	0.16
NCL	MPHOSPH8	0.16
CUX1	MKI67	0.16
VIM	CTCF	0.16
MPHOSPH8	NGDN	0.16
TMEM131	TRAM1	0.16
NCAPG	AHCTF1	0.16
CREBBP	HNRNPA1	0.16
PNN	DDX3X	0.16
RAD18	E2F7	0.16
TMPO	CUX1	0.16
AHNAK	AMBRA1	0.16
DPF2	NSD1	0.16
RAD18	MED1	0.16
RANBP2	BAZ1A	0.16
ESPL1	DNMT1	0.16
PPRC1	FOSL1	0.16
TACC3	RASAL2	0.16
CUX1	ADAR	0.16
NPM1	CEP170	0.16
NASP	CKAP2L	0.16
SLC38A2	BCLAF1	0.16
PKN2	CTNND1	0.159
SON	ASXL2	0.159
COIL	DHX30	0.159
BMS1	UBAP2L	0.159
TRIM28	PROSER1	0.159
HCFC1	UHRF1	0.159
RRP1B	USP1	0.159
CUX1	CCNL2	0.159
SLC38A2	ZRANB2	0.159
SON	CEP170	0.159
MSH6	E2F8	0.159
NCL	PRRC2A	0.159
MSH6	SMG1	0.159
DDX50	SMG1	0.159
NCAPH	PIAS1	0.159
DDX5	LASP1	0.159
NOLC1	NUSAP1	0.159
DNMT1	RECQL	0.159
USP1	CCNL2	0.159
PBRM1	PIAS1	0.159
SAP130	UBAP2L	0.159
TRAM1	SMG1	0.159
MED1	CCAR2	0.159
MICALL1	WIZ	0.159
NPM1	SON	0.159
ARID5B	ABL2	0.159
SPAG9	DBNL	0.159
CEP170	CENPF	0.159
TRAM1	SMG9	0.159
TPX2	NOP2	0.159
PPP1R13B	STRN	0.159
SSRP1	NSD1	0.159
SEC23IP	DDX50	0.159
TCOF1	ATXN2	0.159
SEC23IP	SMG7	0.159
TMPO	WIZ	0.159
ADAR	ATXN2	0.159
SEC23IP	ATXN2	0.159
FEN1	VIM	0.159
SEC23IP	UBAP2L	0.159
TP53BP1	DEK	0.159
TOB2	NR4A1	0.158
SPAG9	KIF18B	0.158
ABI1	AHNAK	0.158
HNRNPA1	HSPH1	0.158
ARID5B	BCAR1	0.158
RB1	VIM	0.158
E2F7	HYLS1	0.158
HP1BP3	DHX30	0.158
THOC2	TEX10	0.158
ADAR	SMG1	0.158
RIPK4	VIM	0.158
TRIM28	PHC2	0.158
STK17A	RIPK4	0.158
TPX2	SPTY2D1	0.158
MKI67	HAUS6	0.158
CDC25A	PIAS1	0.158
SLAIN2	RASAL2	0.158
BAZ1A	ZC3H11A	0.158
ZNF318	BCLAF1	0.158
NCAPG	UBAP2L	0.158
NPM1	TUT1	0.158
MED1	CDC27	0.158
NEDD4L	PIAS1	0.158
SF3B1	PRRC2A	0.158
PNN	CCNL2	0.158
DLGAP5	SPTY2D1	0.158
CCNL2	DEK	0.158
BAZ1A	UTP14A	0.158
CCNL2	CTCF	0.158
MPG	RAD18	0.158
ADD3	AHNAK	0.158
NGDN	BCLAF1	0.158
SON	DNMT1	0.158
RPA1	KMT2B	0.158
EIF2B4	CD3EAP	0.158
NSD1	RFX7	0.158
RRP1B	BRCA1	0.157
DNMT1	RTF1	0.157
RAP1GAP2	GPSM1	0.157
CDC25B	UHRF1	0.157
PDLIM1	PIAS1	0.157
TFAP4	E2F7	0.157
RPA1	EXOSC10	0.157
TPX2	DEK	0.157
E2F7	KDM5A	0.157
RRP1B	WIZ	0.157
ASPM	FTSJ3	0.157
CDC25A	HCFC1	0.157
TPR	SMG1	0.157
BCAR1	PBK	0.157
COIL	DEK	0.157
MGA	RPA1	0.157
ESPL1	KDM5A	0.157
ESPL1	USP1	0.157
TMEM131	UBAP2L	0.157
PPRC1	CDC25A	0.157
EXOSC10	TP53BP1	0.157
ASXL2	AMBRA1	0.157
NCAPH	PBRM1	0.157
RIPK4	KMT2B	0.157
ARHGEF17	DCP1A	0.157
SCAF4	DCP1A	0.157
TPR	HSPH1	0.156
RASAL2	TOR1AIP1	0.156
SCAF4	SEC16A	0.156
NPM1	HAUS6	0.156
MSH6	DDX50	0.156
DPF2	SAP130	0.156
TPX2	DHX30	0.156
MAP4	ESYT2	0.156
FTSJ3	KIF18B	0.156
SPTY2D1	PKN2	0.156
SF3B1	KIF20B	0.156
TPR	DCP1A	0.156
HMMR	CTCF	0.156
PKN2	CLIP1	0.156
MICALL1	UBAP2L	0.156
RRP1B	SEC23IP	0.156
DLGAP5	MAP4	0.156
SECISBP2L	HSPH1	0.156
UBASH3B	KIF20B	0.156
AHCTF1	CTCF	0.156
KIF20B	MYO9B	0.156
GATAD2A	PIAS1	0.156
SSRP1	DDX3X	0.156
FOSL1	RACGAP1	0.156
ADD3	EPN1	0.156
EHD4	VIM	0.156
SPAG9	ABI1	0.156
CREBBP	DHX30	0.156
SMG9	DDX50	0.156
ARID5B	PIAS1	0.156
MPHOSPH8	BRCA1	0.156
CEP170	ORC1	0.156
TSC2	TPR	0.156
ARID5B	TTK	0.156
FOSL1	NES	0.156
CREBBP	MAP1B	0.156
SEC16A	MYBBP1A	0.156
HNRNPA1	NOP2	0.156
RECQL	DEK	0.156
PBK	BCLAF1	0.156
SCAF4	SMG1	0.156
CKAP4	PBK	0.156
CDC5L	PSIP1	0.156
RPA1	CENPJ	0.156
TPR	ATXN2	0.156
CEP170	ABL2	0.156
NASP	CREBBP	0.156
COIL	MPHOSPH8	0.156
PBK	HSPH1	0.156
DDX50	POM121	0.156
SURF6	TEX10	0.156
CDC25A	HAUS6	0.156
USP1	ZRANB2	0.156
SSRP1	HP1BP3	0.155
BAZ1A	RFX7	0.155
DLGAP5	CTCF	0.155
NCAPH	NEDD4L	0.155
MYBBP1A	HSPH1	0.155
RANBP2	TNRC6A	0.155
DLGAP5	FTSJ3	0.155
PRRX1	RPA1	0.155
RRP1B	PBK	0.155
CRIPT	SMG1	0.155
DNMT1	GTSE1	0.155
MCMBP	CDC5L	0.155
OSBPL8	SF3B1	0.155
TPX2	CKAP4	0.155
POLD3	E2F7	0.155
DPF2	SAV1	0.155
TCOF1	UHRF1	0.155
CUX1	NUMA1	0.155
NCL	ZNF318	0.155
TACC3	PRRC2A	0.155
TACC3	RRP1B	0.155
HAUS6	UHRF1	0.155
MED1	KMT2B	0.155
MPHOSPH8	CDC5L	0.155
MPHOSPH8	TTK	0.155
CREBBP	AHNAK	0.155
STK17A	ASXL2	0.155
DDX5	SMG9	0.155
KIF15	CCNL2	0.155
NOLC1	CHAMP1	0.155
NPM1	UBAP2L	0.155
ZRANB2	ABI1	0.155
KIF15	USP1	0.155
DPF2	KMT2B	0.155
LIMCH1	ZC3H11A	0.155
SLC38A2	AHNAK	0.155
KDM5A	SECISBP2L	0.155
NCAPG	MYO9B	0.155
PBK	MYO9B	0.155
PBK	DEK	0.155
UBAP2L	ABL2	0.155
SLC38A2	PBK	0.155
USP1	DEPDC1	0.154
SAP130	POM121	0.154
DDX5	ZRANB2	0.154
RASSF1	NUMA1	0.154
ESPL1	PHLDA2	0.154
AKAP12	SIPA1L1	0.154
ADD3	DBNL	0.154
PRRC2A	PBRM1	0.154
TUT1	DNMT1	0.154
EXOSC10	NSD1	0.154
ANKLE2	EPN1	0.154
MPG	TP53BP1	0.154
NCL	TACC3	0.154
SUN1	CLIP1	0.154
DNMBP	LASP1	0.154
AHNAK	CDC27	0.154
ABI1	RACGAP1	0.154
NPM1	FOSL1	0.154
RB1	DDX50	0.154
SSRP1	TPX2	0.154
SLAIN2	AHCTF1	0.154
UBAP2L	ZC3H11A	0.154
MSH6	AHCTF1	0.154
MAP7D1	DHX30	0.154
DPF2	SIPA1L1	0.154
SPTY2D1	HSPH1	0.154
RRP1B	RACGAP1	0.154
TPX2	RRP1B	0.154
PSIP1	PIAS1	0.154
PIAS1	CTCF	0.154
PNN	NASP	0.154
BMS1	CDC27	0.154
RECQL	CDC27	0.154
MED1	PRRC2A	0.154
SPTY2D1	ASPM	0.154
MED1	NUMA1	0.154
SCAF4	RBM17	0.154
CKAP4	DHX30	0.154
PNN	CENPJ	0.154
LIG1	WIZ	0.154
HNRNPA1	MAP4	0.154
MSH6	RANBP2	0.154
SEC16A	CLIP1	0.154
CDC5L	POM121	0.154
E2F8	LEMD3	0.154
NES	AKAP12	0.154
AHCTF1	SMG1	0.153
MAP4	SIPA1L1	0.153
TTK	CDC5L	0.153
AHCTF1	BRCA1	0.153
MAP4	BMS1	0.153
MICALL1	MYBBP1A	0.153
MCMBP	KIF20B	0.153
DDX5	NUMA1	0.153
TPR	CDC27	0.153
MPHOSPH8	VIM	0.153
NUP214	MAP4	0.153
ZNF318	HMMR	0.153
TMEM131	CREBBP	0.153
COIL	DPF2	0.153
FEN1	PSIP1	0.153
TCOF1	HMMR	0.153
TCOF1	INCENP	0.153
SPTY2D1	SLC26A6	0.153
SPTY2D1	RTF1	0.153
LEMD3	BMS1	0.153
NCAPG	NUMA1	0.153
SF3B1	SURF6	0.153
LEMD3	PBRM1	0.153
LEMD3	DEK	0.153
LMO7	DNTTIP2	0.153
FOSL1	PKN2	0.153
TRIM28	TACC3	0.153
TRIM28	EXOSC10	0.153
CCAR2	BAZ1B	0.153
SAP130	ZNF318	0.153
TACC3	HMGA1	0.153
CCAR2	PRRC2A	0.153
RPA1	ANLN	0.153
RPA1	HSPH1	0.153
ZNF609	DNMT1	0.153
TEX10	CD3EAP	0.153
NOLC1	DEK	0.153
NASP	HSPH1	0.153
SPAG9	BCLAF1	0.153
E2F7	CENPJ	0.153
FTSJ3	NUSAP1	0.153
DLGAP5	DNMT1	0.153
PPRC1	CDCA8	0.153
CDC25A	CEP170	0.153
RAD18	CDC27	0.153
POLD3	WIZ	0.153
HMMR	SLC26A6	0.153
USP1	MAP7D1	0.153
UBASH3B	CCDC137	0.153
THOC2	TUT1	0.153
CREBBP	PRRC2A	0.152
TP53BP1	VIM	0.152
SCAF4	TNRC6A	0.152
SCAF4	BCLAF1	0.152
PPFIBP1	RASAL2	0.152
SMG9	CLIP1	0.152
NOP2	UBAP2L	0.152
BAZ1A	SMG1	0.152
PRRC2A	POM121	0.152
PRRC2A	MYO9B	0.152
TMPO	DHX30	0.152
KIF23	CTNND1	0.152
MYBBP1A	KMT2B	0.152
CCAR2	RRP1B	0.152
PYGB	UBASH3B	0.152
RAD18	TPX2	0.152
HCFC1	POM121	0.152
RAD18	CASP8AP2	0.152
NPM1	DCP1A	0.152
SLAIN2	SYNRG	0.152
INCENP	DDX3X	0.152
LIG1	NPM1	0.152
TUT1	DCP1A	0.152
E2F7	USP1	0.152
CEP170	TCOF1	0.152
TRIM28	AHNAK	0.152
PTPN12	STRN	0.152
SEC16A	HNRNPA1	0.152
USP1	CDC5L	0.152
NCAPH	BCAR1	0.152
RAP1GAP2	STRN	0.152
RIPK4	TPR	0.152
STIL	DEK	0.152
THOC2	CWF19L2	0.152
ANKLE2	TCOF1	0.152
MAP7D1	FTSJ3	0.152
NOLC1	HSPH1	0.152
MAP4	REPIN1	0.152
DLGAP5	CDC27	0.152
PTPN12	ABI1	0.151
AHNAK	DHX30	0.151
TUT1	RACGAP1	0.151
GEMIN5	CCAR2	0.151
MAP4	BCLAF1	0.151
FTSJ3	SIPA1L1	0.151
ATXN2L	NGDN	0.151
TTK	MYBBP1A	0.151
PRRC2C	CDC5L	0.151
ANLN	DNTTIP2	0.151
PRRX1	MAP1B	0.151
LIG1	NUMA1	0.151
MAP1B	NCL	0.151
THOC2	SIPA1L1	0.151
POLD3	NSD1	0.151
RAD18	GEMIN5	0.151
MYBBP1A	DDX3X	0.151
PNN	CREBBP	0.151
CASC3	DHX30	0.151
PRRX1	CENPF	0.151
MPG	DNMT1	0.151
TCOF1	POM121	0.151
KIF23	BAZ1A	0.151
STK17A	HSPH1	0.151
DDX5	BAZ1B	0.151
MPHOSPH8	BMS1	0.151
NCL	TEX10	0.151
RPA1	ADAR	0.151
SLC38A2	DEK	0.151
SLC38A2	SMG7	0.151
ASXL2	CTCF	0.151
COIL	NSD1	0.151
PBRM1	ZC3H11A	0.151
PBRM1	CD3EAP	0.151
TRIM28	PHLDA2	0.151
CASC3	BMS1	0.151
RIPK4	TRPS1	0.151
TUT1	MYBBP1A	0.151
RIPK4	SECISBP2L	0.151
LEMD3	RFX7	0.151
RIPK4	PBRM1	0.151
GTSE1	RSL1D1	0.151
DDX50	SMG7	0.151
ARID5B	NSD1	0.151
SCAF4	DEK	0.15
SURF6	BAZ1A	0.15
NPM1	DEPDC1	0.15
ANKLE2	BCAR1	0.15
SON	EXOSC10	0.15
PPP1R13B	ATXN2	0.15
PRRX1	CTCF	0.15
RTF1	SIPA1L1	0.15
RB1	MPHOSPH8	0.15
THOC2	NOP2	0.15
NOLC1	HMGA1	0.15
TPX2	MYBBP1A	0.15
DNMT1	STIL	0.15
AHCTF1	WIZ	0.15
ESPL1	SUN1	0.15
PKN2	NUMA1	0.15
UBAP2L	KMT2B	0.15
TSC2	ATXN2L	0.15
CTNND1	SMG1	0.15
CREBBP	DCP1A	0.15
CREBBP	STIL	0.15
RRP1B	HMMR	0.15
ORC1	FTSJ3	0.15
AHNAK	MYO9B	0.15
E2F7	INCENP	0.15
TTK	BAZ1A	0.15
TPR	CCNL2	0.15
TPR	BAZ1A	0.15
PIAS1	SECISBP2L	0.15
LIG1	DHX30	0.15
DLGAP5	NSD1	0.15
POM121	KMT2B	0.15
MED1	NOLC1	0.15
MED1	TACC3	0.15
SYDE1	CHAMP1	0.15
BAZ1B	UTP14A	0.15
ESPL1	RAD18	0.15
